Ward,SchoolID,DeptID,SchoolShortName,SchoolLongName,GradeCat,CPSPositions,CTUMembers,CTUNetwork,Address,City,State,Zip
14,400112,66399,ACERO - IDAR,Acero Charter Schools - Jovita Idar,ES,0,37,CTUA1,5050 S HOMAN AVE,Chicago,Illinois,60632
14,400179,66579,NOBLE - MANSUETO HS,Noble Mansueto High School,HS,0,0,,2911 W 47TH,Chicago,Illinois,60632
14,400173,66801,PATHWAYS - BRIGHTON PARK HS,Pathways in Education- Brighton Park,HS,0,0,,3124 W 47TH ST,Chicago,Illinois,60632
15,609842,22601,CARSON,Rachel Carson Elementary School,ES,98,74,08B,5516 S MAPLEWOOD AVE,Chicago,Illinois,60629
15,609947,23391,GRAHAM ES,Alexander Graham Elementary School,ES,45,30,06B,4436 S UNION AVE,Chicago,Illinois,60609
15,609983,23681,HEDGES,James Hedges Elementary School,ES,61,47,08B,4747 S WINCHESTER AVE,Chicago,Illinois,60609
15,609986,23721,HENDERSON,Charles R Henderson Elementary School,ES,32,21,11A,5650 S WOLCOTT AVE,Chicago,Illinois,60636
15,609993,23791,LARA,Agustin Lara Elementary Academy,ES,55,38,08B,4619 S WOLCOTT AVE,Chicago,Illinois,60609
15,610053,24341,MARQUETTE,Marquette Elementary School,ES,121,82,AUSL-S,6550 S RICHMOND ST,Chicago,Illinois,60629
15,610167,25301,SEWARD,William H Seward Communication Arts Academy ES,ES,58,45,08B,4600 S HERMITAGE AVE,Chicago,Illinois,60609
15,610559,27091,SHIELDS MIDDLE,James Shields Middle School,MS,55,42,08B,2611 W 48TH ST,Chicago,Illinois,60632
15,609855,30031,CHRISTOPHER,Walter S Christopher Elementary School,ES,120,40,08A,5042 S ARTESIAN AVE,Chicago,Illinois,60632
15,609709,46141,GAGE PARK HS,Gage Park High School,HS,60,37,016,5630 S ROCKWELL ST,Chicago,Illinois,60629
15,609735,53121,TILDEN HS,Edward Tilden Career Community Academy HS,HS,47,28,016,4747 S UNION AVE,Chicago,Illinois,60609
15,400167,63181,HORIZON - SOUTHWEST,Horizon Science Academy Southwest Chicago Charter,ES,4,0,,5401 S WESTERN AVE,Chicago,Illinois,60609
16,609791,22161,BASS,Perkins Bass Elementary School,ES,55,36,11C,1140 W 66TH ST,Chicago,Illinois,60621
16,609793,22181,NICHOLSON,Lillian R. Nicholson STEM Academy,ES,60,40,11A,6006 S PEORIA ST,Chicago,Illinois,60621
16,609869,22841,LANGFORD,Anna R. Langford Community Academy,ES,32,25,11A,6010 S THROOP ST,Chicago,Illinois,60636
16,609885,22951,DEWEY,Dewey Elementary Academy of Fine Arts,ES,50,31,AUSL-S,5415 S UNION AVE,Chicago,Illinois,60609
16,609897,23031,EARLE,Charles W Earle Elementary School,ES,47,26,11A,2040 W 62ND ST,Chicago,Illinois,60636
16,609929,23281,FULTON,Robert Fulton Elementary School,ES,48,39,11A,5300 S HERMITAGE AVE,Chicago,Illinois,60609
16,609997,23831,HOLMES,Oliver Wendell Holmes Elementary School,ES,24,16,11A,955 W GARFIELD BLVD,Chicago,Illinois,60621
16,610019,23991,KERSHAW,Joshua D Kershaw Elementary School,ES,50,26,11C,6450 S LOWE AVE,Chicago,Illinois,60621
16,610077,24571,MORRILL,Donald Morrill Math & Science Elementary School,ES,70,45,10A,6011 S ROCKWELL ST,Chicago,Illinois,60629
16,610108,24801,OTOOLE,Luke O'Toole Elementary School,ES,41,25,11A,6550 S SEELEY AVE,Chicago,Illinois,60636
16,610238,25941,BOND,Carrie Jacobs Bond Elementary School,ES,54,31,11C,7050 S MAY ST,Chicago,Illinois,60621
16,610057,26701,FAIRFIELD,Fairfield Elementary Academy,ES,62,43,10A,6201 S FAIRFIELD AVE,Chicago,Illinois,60629
16,610521,29391,DAVIS M,Sir Miles Davis Magnet Elementary Academy,ES,30,15,11C,6740 S PAULINA ST,Chicago,Illinois,60636
16,610347,31301,CLAREMONT,Claremont Academy Elementary School,ES,77,38,10A,2300 W 64TH ST,Chicago,Illinois,60636
16,610391,46511,LINDBLOM HS,Robert Lindblom Math & Science Academy HS,HS,148,108,016,6130 S WOLCOTT AVE,Chicago,Illinois,60636
16,610570,65014,OMBUDSMAN - SOUTH HS,Ombudsman Chicago - South,HS,0,0,,6057 S WESTERN AVE,Chicago,Illinois,60636
16,400024,66231,CICS - BASIL,CICS - Basil,ES,0,0,,1816 W GARFIELD BLVD,Chicago,Illinois,60609
16,400115,66433,CATALYST - MARIA,Catalyst - Maria Charter School,ES,0,0,,6727 S CALIFORNIA AVE,Chicago,Illinois,60629
16,400071,66471,PROVIDENCE ENGLEWOOD,Providence Englewood Charter School,ES,0,0,,6515 S ASHLAND AVE,Chicago,Illinois,60636
16,400163,66931,KIPP - BLOOM,KIPP Chicago Charter School - KIPP Bloom,ES,6,0,,5515 S LOWE AVE,Chicago,Illinois,60621
17,609790,22151,BARTON,Clara Barton Elementary School,ES,52,31,11C,7650 S WOLCOTT AVE,Chicago,Illinois,60620
17,609805,22281,JOPLIN,Scott Joplin Elementary School,ES,43,24,11C,7931 S HONORE ST,Chicago,Illinois,60620
17,609864,22801,COOK,John W Cook Elementary School,ES,43,26,11C,8150 S BISHOP ST,Chicago,Illinois,60620
17,609955,23451,GRESHAM,Walter Q Gresham Elementary School,ES,51,36,AUSL-S,8524 S GREEN ST,Chicago,Illinois,60620
17,610003,23881,CUFFE,Paul Cuffe Math-Science Technology Academy ES,ES,40,23,11C,8324 S RACINE AVE,Chicago,Illinois,60620
17,610067,24451,MCKAY,Francis M McKay Elementary School,ES,80,49,10B,6901 S FAIRFIELD AVE,Chicago,Illinois,60629
17,610102,24741,OGLESBY,Richard J Oglesby Elementary School,ES,44,35,11C,7646 S GREEN ST,Chicago,Illinois,60620
17,610223,25811,WENTWORTH,Daniel S Wentworth Elementary School,ES,73,40,11C,1340 W 71ST ST,Chicago,Illinois,60636
17,610339,26521,STAGG,Amos Alonzo Stagg Elementary School,ES,54,34,AUSL-S,7424 S MORGAN ST,Chicago,Illinois,60621
17,610396,26791,TARKINGTON,Tarkington School of Excellence ES,ES,97,66,AUSL-S,3330 W 71ST ST,Chicago,Illinois,60629
17,609941,29111,RANDOLPH,Asa Philip Randolph Elementary School,ES,44,33,11C,7316 S HOYNE AVE,Chicago,Illinois,60636
17,609745,49031,SOUTHSIDE HS,Southside Occupational Academy High School,HS,130,50,11C,7342 S HOYNE AVE,Chicago,Illinois,60636
17,610565,63142,EXCEL ENGLEWOOD HS,Excel Academy of Englewood,HS,0,0,,7141 S MORGAN,Chicago,Illinois,60621
17,400176,63144,EXCEL SOUTHWEST HS,Excel Academy Southwest,HS,1,0,,7050 S WASHTENAW AVE,Chicago,Illinois,60629
17,400032,66072,CICS - ELLISON HS,CICS - Ralph Ellison,HS,0,17,CTUA2,1817 W 80TH ST,Chicago,Illinois,60620
17,400111,66564,LEARN - PERKINS,L.E.A.R.N. - Hunter Perkins Campus,ES,0,0,,1700 W 83RD ST,Chicago,Illinois,60620
17,400116,66591,MONTESSORI ENGLEWOOD,The Montessori School of Englewood Charter,ES,2,0,,6936 S HERMITAGE AVE,Chicago,Illinois,60636
17,400130,66614,YCCS - YOUTH DEVELOPMENT,YCCS-Community Youth Development Institute HS,HS,1,0,,7836 S UNION AVE,Chicago,Illinois,60620
18,609839,22571,CARROLL,Carroll-Rosenwald Specialty Elementary School,ES,54,34,10B,2929 W 83RD ST,Chicago,Illinois,60652
18,609879,22901,DAWES,Charles Gates Dawes Elementary School,ES,108,76,10B,3810 W 81ST PL,Chicago,Illinois,60652
18,609927,23261,FOSTER PARK,Foster Park Elementary School,ES,58,27,11B,8530 S WOOD ST,Chicago,Illinois,60620
18,610185,25471,STEVENSON,Adlai E Stevenson Elementary School,ES,131,96,10B,8010 S KOSTNER AVE,Chicago,Illinois,60652
18,610352,26831,DURKIN PARK,Durkin Park Elementary School,ES,78,61,10B,8445 S KOLIN AVE,Chicago,Illinois,60652
18,610109,29241,OWEN,William Bishop Owen Scholastic Academy ES,ES,33,20,10B,8247 S CHRISTIANA AVE,Chicago,Illinois,60652
18,609807,32021,HAMPTON,Lionel Hampton Fine & Performing Arts ES,ES,62,38,10B,3434 W 77TH ST,Chicago,Illinois,60652
18,610287,32081,ASHBURN,Ashburn Community Elementary School,ES,54,35,10B,8300 S ST LOUIS AVE,Chicago,Illinois,60652
18,609698,46041,BOGAN HS,William J Bogan High School,HS,105,61,016,3939 W 79TH ST,Chicago,Illinois,60652
18,610558,46611,GOODE HS,Sarah E. Goode STEM Academy,HS,108,77,016,7651 S HOMAN AVE,Chicago,Illinois,60652
18,610557,65018,PATHWAYS - ASHBURN HS,Pathways in Education- Ashburn,HS,0,0,,3284 W 87TH ST,Chicago,Illinois,60652
18,400031,66381,CICS - WRIGHTWOOD,CICS - Wrightwood,ES,0,60,CTUA2,8130 S CALIFORNIA AVE,Chicago,Illinois,60652
19,609788,22131,BARNARD,Alice L Barnard Computer Math & Science Ctr ES,ES,35,25,10C,10354 S CHARLES ST,Chicago,Illinois,60643
19,609849,22651,CASSELL,George F Cassell Elementary School,ES,50,32,10C,11314 S SPAULDING AVE,Chicago,Illinois,60655
19,609861,22761,CLISSOLD,Henry R Clissold Elementary School,ES,68,45,10C,2350 W 110TH PL,Chicago,Illinois,60643
19,609908,23131,ESMOND,Esmond Elementary School,ES,38,19,10C,1865 W MONTVALE AVE,Chicago,Illinois,60643
19,610016,23971,KELLOGG,Kate S Kellogg Elementary School,ES,38,24,10C,9241 S LEAVITT ST,Chicago,Illinois,60643
19,610082,24591,MOUNT GREENWOOD,Mount Greenwood Elementary School,ES,93,70,10C,10841 S HOMAN AVE,Chicago,Illinois,60655
19,610195,25561,SUTHERLAND,Elizabeth H Sutherland Elementary School,ES,66,47,10C,10015 S LEAVITT ST,Chicago,Illinois,60643
19,609871,26731,VICK,Barbara Vick Early Childhood & Family Center,ES,48,30,10C,2554 W 113TH ST,Chicago,Illinois,60655
19,610084,29211,KELLER,Annie Keller Regional Gifted Center,ES,22,15,10C,3020 W 108TH ST,Chicago,Illinois,60655
19,610207,29311,VANDERPOEL,John H Vanderpoel Elementary Magnet School,ES,34,19,10C,9510 S PROSPECT AVE,Chicago,Illinois,60643
19,609725,46251,MORGAN PARK HS,Morgan Park High School,HS,130,82,016,1744 W PRYOR AVE,Chicago,Illinois,60643
19,609753,47091,CHICAGO AGRICULTURE HS,Chicago High School for Agricultural Sciences,HS,119,62,10C,3857 W 111TH ST,Chicago,Illinois,60655
20,609844,22611,CARTER,William W Carter Elementary School,ES,38,20,AUSL-S,5740 S MICHIGAN AVE,Chicago,Illinois,60637
20,609919,23221,FISKE,John Fiske Elementary School,ES,55,36,09B,6020 S LANGLEY AVE,Chicago,Illinois,60637
20,609964,23511,HAMLINE,John H Hamline Elementary School,ES,81,49,08B,4747 S BISHOP ST,Chicago,Illinois,60609
20,609977,23631,WOODLAWN,Woodlawn Community Elementary School,ES,26,15,09B,6657 S KIMBARK AVE,Chicago,Illinois,60637
20,610037,24171,LIBBY,Arthur A Libby Elementary School,ES,47,29,11A,5300 S LOOMIS BLVD,Chicago,Illinois,60609
20,610065,24441,TILL,Emmett Louis Till Math and Science Academy,ES,47,28,09B,6543 S CHAMPLAIN AVE,Chicago,Illinois,60637
20,610148,25151,CHAVEZ,Cesar E Chavez Multicultural Academic Center ES,ES,97,65,08B,4747 S MARSHFIELD AVE,Chicago,Illinois,60609
20,610172,25341,SHERMAN,William T Sherman Elementary School,ES,44,28,AUSL-S,1000 W 52ND ST,Chicago,Illinois,60609
20,610173,25351,SHERWOOD,Jesse Sherwood Elementary School,ES,44,27,11A,245 W 57TH ST,Chicago,Illinois,60621
20,610213,25711,WADSWORTH,James Wadsworth Elementary School,ES,62,43,09B,6650 S ELLIS AVE,Chicago,Illinois,60637
20,610239,25951,DALEY,Richard J Daley Elementary Academy,ES,57,41,08B,5024 S WOLCOTT AVE,Chicago,Illinois,60609
20,610263,26141,DULLES,John Foster Dulles Elementary School,ES,80,50,AUSL-S,6311 S CALUMET AVE,Chicago,Illinois,60637
20,609987,31121,HENDRICKS,Thomas A Hendricks Elementary Community Academy,ES,50,22,09A,4316 S PRINCETON AVE,Chicago,Illinois,60609
20,610587,46681,DYETT ARTS HS,Walter Henri Dyett High School for the Arts,HS,70,49,09B,555 E 51ST,Chicago,Illinois,60615
20,609682,53051,RICHARDS HS,Ellen H Richards Career Academy High School,HS,52,30,016,5009 S LAFLIN ST,Chicago,Illinois,60609
20,400077,66112,U OF C - WOODLAWN HS,University of Chicago - Woodlawn,HS,5,0,,6300 S UNIVERSITY AVE,Chicago,Illinois,60637
20,400106,66148,NOBLE - JOHNSON HS,Noble - John and Eunice Johnson College Prep,HS,0,0,,6350 S STEWART AVE,Chicago,Illinois,60621
20,400029,66181,CICS - WASHINGTON PARK,CICS - Washington Park,ES,0,0,,110 E 61ST ST,Chicago,Illinois,60637
20,400086,66441,URBAN PREP - ENGLEWOOD HS,Urban Prep Academy for Young Men - Englewood,HS,3,14,CTUA2,6201 S STEWART AVE,Chicago,Illinois,60621
20,400129,66613,YCCS - PROGRESSIVE LEADERSHIP,YCCS-Progressive Leadership Academy,HS,0,0,,6620 S DR MARTIN LUTHER KING JR DR,Chicago,Illinois,60637
20,610386,67021,PEACE AND EDUCATION HS,Peace & Education Coalition HS,HS,38,28,08B,4946 S PAULINA ST,Chicago,Illinois,60609
21,609808,22301,HALEY,Alex Haley Elementary Academy,ES,60,40,13A,11411 S EGGLESTON AVE,Chicago,Illinois,60628
21,610368,22451,HUGHES L,Langston Hughes Elementary School,ES,74,45,13A,240 W 104TH ST,Chicago,Illinois,60628
21,609917,23201,FERNWOOD,Fernwood Elementary School,ES,33,15,13A,10041 S UNION AVE,Chicago,Illinois,60628
21,609924,23241,FORT DEARBORN,Fort Dearborn Elementary School,ES,55,29,11B,9025 S THROOP ST,Chicago,Illinois,60620
21,610032,24131,GREEN,Wendell E Green Elementary School,ES,56,25,11B,1150 W 96TH ST,Chicago,Illinois,60643
21,610086,24601,MOUNT VERNON,Mount Vernon Elementary School,ES,36,20,13A,10540 S MORGAN ST,Chicago,Illinois,60643
21,610128,24951,GARVEY,Marcus Moziah Garvey Elementary School,ES,38,22,13A,10309 S MORGAN ST,Chicago,Illinois,60643
21,610153,25191,RYDER,William H Ryder Math & Science Specialty ES,ES,89,46,11B,8716 S WALLACE ST,Chicago,Illinois,60620
21,610176,25381,SHOOP,John D Shoop Math-Science Technical Academy ES,ES,56,35,13A,11140 S BISHOP ST,Chicago,Illinois,60643
21,610188,25491,DUNNE,Dunne Technology Academy,ES,30,21,13A,10845 S UNION AVE,Chicago,Illinois,60628
21,610225,25831,WHISTLER,John Whistler Elementary School,ES,50,24,13A,11533 S ADA ST,Chicago,Illinois,60643
21,610315,26431,WHITE,Edward White Elementary Career Academy,ES,25,14,13A,1136 W 122ND ST,Chicago,Illinois,60643
21,610366,26621,WACKER,Charles H Wacker Elementary School,ES,38,20,11B,9746 S MORGAN ST,Chicago,Illinois,60643
21,610369,26651,JACKSON M,Mahalia Jackson Elementary School,ES,50,30,11B,917 W 88TH ST,Chicago,Illinois,60620
21,610199,26751,COLEMON,Johnnie Colemon Elementary Academy,ES,30,21,13A,1441 W 119TH ST,Chicago,Illinois,60643
21,610295,31251,HIGGINS,Thomas J Higgins Elementary Community Academy,ES,38,21,13A,11710 S MORGAN ST,Chicago,Illinois,60643
21,609705,46111,FENGER HS,Christian Fenger Academy High School,HS,52,25,017,11220 S WALLACE ST,Chicago,Illinois,60628
21,609762,46401,JULIAN HS,Percy L Julian High School,HS,76,42,016,10330 S ELIZABETH ST,Chicago,Illinois,60643
21,400147,63141,CHICAGO EXCEL HS,Chicago Excel Academy HS,HS,4,0,,1257 W 111TH ST,Chicago,Illinois,60643
21,400061,66052,PERSPECTIVES - LEADERSHIP HS,Perspectives - Leadership Academy,HS,0,0,,8522 S LAFAYETTE AVE,Chicago,Illinois,60620
21,400062,66053,PERSPECTIVES - TECH HS,Perspectives - High School of Technology,HS,0,0,,8522 S LAFAYETTE AVE,Chicago,Illinois,60620
21,400033,66061,CICS - LONGWOOD,CICS - Longwood,HS,0,0,,1309 W 95TH ST,Chicago,Illinois,60643
21,400026,66075,CICS - LOOMIS,CICS - Loomis Primary,ES,0,0,,9535 S LOOMIS ST,Chicago,Illinois,60643
21,400117,66574,NOBLE - HANSBERRY HS,Noble - Hansberry College Prep,HS,0,0,,8748 S ABERDEEN ST,Chicago,Illinois,60620
21,610593,69617,OMBUDSMAN - ROSELAND HS,Ombudsman Chicago - Roseland HS,HS,0,0,,10928 S HALSTED,Chicago,IL,60628
22,609834,22521,LITTLE VILLAGE,Little Village Elementary School,ES,78,62,07A,2620 S LAWNDALE AVE,Chicago,Illinois,60623
22,609870,22851,CORKERY,Daniel J Corkery Elementary School,ES,60,38,07A,2510 S KILDARE AVE,Chicago,Illinois,60623
22,609938,23311,GARY,Joseph E Gary Elementary School,ES,94,69,07A,3740 W 31ST ST,Chicago,Illinois,60623
22,609950,23411,ORTIZ DE DOMINGUEZ,Josefa Ortiz De Dominguez Elementary School,ES,66,40,07A,3000 S LAWNDALE AVE,Chicago,Illinois,60623
22,609973,23611,ZAPATA,Emiliano Zapata Elementary Academy,ES,73,53,07A,2728 S KOSTNER AVE,Chicago,Illinois,60623
22,609981,23671,HEARST,Phoebe Apperson Hearst Elementary School,ES,64,34,10A,4640 S LAMON AVE,Chicago,Illinois,60638
22,610024,24051,CARDENAS,Lazaro Cardenas Elementary School,ES,104,76,07A,2345 S MILLARD AVE,Chicago,Illinois,60623
22,610063,24431,MCCORMICK,Cyrus H McCormick Elementary School,ES,64,52,07A,2712 S SAWYER AVE,Chicago,Illinois,60623
22,610227,25841,WHITNEY,Eli Whitney Elementary School,ES,79,56,07A,2815 S KOMENSKY AVE,Chicago,Illinois,60623
22,610215,41041,MADERO,Francisco I Madero Middle School,MS,35,27,07A,3202 W 28TH ST,Chicago,Illinois,60623
22,610392,52011,WORLD LANGUAGE HS,World Language Academy High School,HS,46,34,015,3120 S KOSTNER AVE,Chicago,Illinois,60623
22,609704,53091,FARRAGUT HS,David G Farragut Career Academy High School,HS,96,58,016,2345 S CHRISTIANA AVE,Chicago,Illinois,60623
22,610384,55151,INFINITY HS,Infinity Math Science and Technology High School,HS,47,35,07A,3120 S KOSTNER AVE,Chicago,Illinois,60623
22,610383,55171,SOCIAL JUSTICE HS,Greater Lawndale High School For Social Justice,HS,50,32,015,3120 S KOSTNER AVE,Chicago,Illinois,60623
22,610385,55181,MULTICULTURAL ARTS HIGH SCHOOL,Multicultural Arts High School,HS,34,26,015,3120 S KOSTNER AVE,Chicago,Illinois,60623
22,400009,63011,GLOBAL CITIZENSHIP,Academy for Global Citizenship Charter School,ES,6,0,,4647 W 47TH ST,Chicago,Illinois,60632
23,609832,22501,BYRNE,Michael M Byrne Elementary School,ES,77,46,10A,5329 S OAK PARK AVE,Chicago,Illinois,60638
23,610544,22921,AZUELA,Mariano Azuela Elementary School,ES,69,56,10B,4707 W MARQUETTE RD,Chicago,Illinois,60629
23,610006,23911,HURLEY,Edward N Hurley Elementary School,ES,79,60,10B,3849 W 69TH PL,Chicago,Illinois,60629
23,610120,24871,PECK,Ferdinand Peck Elementary School,ES,104,73,08A,3826 W 58TH ST,Chicago,Illinois,60629
23,610206,25661,TWAIN,Mark Twain Elementary School,ES,89,74,10A,5134 S LOTUS AVE,Chicago,Illinois,60638
23,609741,46341,HUBBARD HS,Gurdon S Hubbard High School,HS,177,130,016,6200 S HAMLIN AVE,Chicago,Illinois,60629
24,609921,23231,TELPOCHCALLI,Telpochcalli Elementary School,ES,38,28,07B,2832 W 24TH BLVD,Chicago,Illinois,60623
24,609954,23441,GREGORY,John Milton Gregory Elementary School,ES,46,31,05B,3715 W POLK ST,Chicago,Illinois,60624
24,609991,23771,HERZL,Theodore Herzl Elementary School,ES,81,48,AUSL-W,3711 W DOUGLAS BLVD,Chicago,Illinois,60623
24,610005,23901,HUGHES C,Charles Evans Hughes Elementary School,ES,32,18,05B,4247 W 15TH ST,Chicago,Illinois,60623
24,610056,24381,MASON,Roswell B Mason Elementary School,ES,40,24,05B,4217 W 18TH ST,Chicago,Illinois,60623
24,610123,24911,PENN,William Penn Elementary School,ES,39,25,05B,1616 S AVERS AVE,Chicago,Illinois,60623
24,610184,25451,SPRY ES,John Spry Elementary Community School,ES,52,38,07A,2400 S MARSHALL BLVD,Chicago,Illinois,60623
24,610221,25791,WEBSTER,Daniel Webster Elementary School,ES,43,26,05B,4055 W ARTHINGTON ST,Chicago,Illinois,60624
24,610254,26051,DVORAK,Dvorak Technology Academy,ES,45,37,AUSL-W,3615 W 16TH ST,Chicago,Illinois,60623
24,610274,26231,JOHNSON,James Weldon Johnson Elementary School,ES,40,30,AUSL-W,1420 S ALBANY AVE,Chicago,Illinois,60623
24,609920,29071,KANOON,Gerald Delgado Kanoon Elementary Magnet School,ES,52,39,07A,2233 S KEDZIE AVE,Chicago,Illinois,60623
24,610017,29151,SAUCEDO,Maria Saucedo Elementary Scholastic Academy,ES,112,84,07B,2850 W 24TH BLVD,Chicago,Illinois,60623
24,610503,29411,FRAZIER PROSPECTIVE,Frazier Prospective IB Magnet ES,ES,28,20,05B,4027 W GRENSHAW ST,Chicago,Illinois,60624
24,609873,31041,CROWN,Crown Community Academy of Fine Arts Center ES,ES,28,15,05B,2128 S SAINT LOUIS AVE,Chicago,Illinois,60623
24,610034,31161,LAWNDALE,Lawndale Elementary Community Academy,ES,37,21,05B,3500 W DOUGLAS BLVD,Chicago,Illinois,60623
24,610194,31221,SUMNER,Charles Sumner  Math & Science Community Acad ES,ES,38,22,05B,4320 W 5TH AVE,Chicago,Illinois,60624
24,610357,46461,SPRY HS,Spry Community Links High School,HS,34,24,016,2400 S MARSHALL BLVD,Chicago,Illinois,60623
24,609748,49041,YORK HS,Consuella B York Alternative HS,HS,60,49,016,2700 S CALIFORNIA AVE,Chicago,Illinois,60608
24,610499,49131,COLLINS HS,Collins Academy High School,HS,52,26,AUSL-W,1313 S SACRAMENTO DR,Chicago,Illinois,60623
24,400058,66091,NLCP - CHRISTIANA HS,North Lawndale College Prep - Christiana,HS,4,0,,1615 S CHRISTIANA AVE,Chicago,Illinois,60623
24,400059,66092,NLCP - COLLINS HS,North Lawndale College Prep - Collins,HS,0,0,,1313 S SACRAMENTO DR,Chicago,Illinois,60623
24,400046,66211,LEARN - BUTLER,L.E.A.R.N. - Romano Butler Campus,ES,0,0,,1132 S HOMAN AVE,Chicago,Illinois,60624
24,400044,66261,KIPP - ASCEND,KIPP Ascend Charter School,ES,3,0,,1616 S AVERS AVE,Chicago,Illinois,60623
24,400118,66575,NOBLE - DRW HS,Noble - DRW College Prep,HS,0,0,,931 S HOMAN AVE,Chicago,Illinois,60624
24,400128,66612,YCCS - CCA ACADEMY,YCCS-CCA Academy HS,HS,0,0,,1231 S PULASKI RD,Chicago,Illinois,60623
24,400049,67071,LEGACY,Legacy Charter School,ES,0,0,,3318 W OGDEN AVE,Chicago,Illinois,60623
25,609867,22831,COOPER,Peter Cooper Elementary Dual Language Academy,ES,63,43,07B,1624 W 19TH ST,Chicago,Illinois,60608
25,609872,22861,PEREZ,Manuel Perez Elementary School,ES,41,27,07B,1241 W 19TH ST,Chicago,Illinois,60608
25,609966,23531,HAMMOND,Charles G Hammond Elementary School,ES,44,32,07B,2819 W 21ST PL,Chicago,Illinois,60623
25,609967,23541,FINKL,William F Finkl Elementary School,ES,54,28,07B,2332 S WESTERN AVE,Chicago,Illinois,60608
25,610015,23961,JUNGMAN,Joseph Jungman Elementary School,ES,59,31,07B,1746 S MILLER ST,Chicago,Illinois,60608
25,610125,24931,RUIZ,Irma C Ruiz Elementary School,ES,68,41,07B,2410 S LEAVITT ST,Chicago,Illinois,60608
25,610129,24961,PICKARD,Josiah Pickard Elementary School,ES,50,32,07B,2301 W 21ST PL,Chicago,Illinois,60608
25,610216,25731,WALSH,John A Walsh Elementary School,ES,52,32,07B,2015 S PEORIA ST,Chicago,Illinois,60608
25,610228,25861,WHITTIER,John Greenleaf Whittier Elementary School,ES,32,22,07B,1900 W 23RD ST,Chicago,Illinois,60608
25,610013,31141,PILSEN,Pilsen Elementary Community Academy,ES,45,28,07B,1420 W 17TH ST,Chicago,Illinois,60608
25,610329,31281,OROZCO,Orozco Fine Arts & Sciences Elementary School,ES,44,31,07B,1940 W 18TH ST,Chicago,Illinois,60608
25,609764,46421,JUAREZ HS,Benito Juarez Community Academy High School,HS,172,141,07B,1450 W CERMAK RD,Chicago,Illinois,60608
25,400104,63131,INSTITUTO - HEALTH,Instituto Health Sciences Career Academy,HS,6,66,CTUA2,2520 S WESTERN AVE,Chicago,Illinois,60608
25,400083,66131,ACERO - PAZ,Acero Charter Schools - Octavio Paz Campus,ES,0,20,CTUA1,2651 W 23RD ST,Chicago,Illinois,60608
25,400081,66392,ACERO - DE LAS CASAS,Acero Charter Schools - Bartolom├⌐ de las Casas,ES,0,26,CTUA1,1641 W 16TH ST,Chicago,Illinois,60608
25,400134,66618,YCCS - ADDAMS,YCCS-Jane Addams Alternative HS,HS,0,0,,1814 S UNION AVE,Chicago,Illinois,60616
25,400135,66619,YCCS - LATINO YOUTH,YCCS-Latino Youth Alternative HS,HS,0,11,CTUA2,2001 S CALIFORNIA AVE,Chicago,Illinois,60608
25,400164,66921,INSTITUTO - JUSTICE HS,Instituto - Justice and Leadership,HS,2,10,CTUA2,2570 S BLUE ISLAND AVE,Chicago,Illinois,60608
26,609930,23291,FUNSTON,Frederick Funston Elementary School,ES,76,43,04A,2010 N CENTRAL PARK AVE,Chicago,Illinois,60647
26,609968,23551,MCAULIFFE,Sharon Christa McAuliffe Elementary School,ES,67,52,04A,1841 N SPRINGFIELD AVE,Chicago,Illinois,60647
26,610021,24011,CASALS,Pablo Casals Elementary School,ES,46,36,AUSL-W,3501 W POTOMAC AVE,Chicago,Illinois,60651
26,610040,24221,LLOYD,Henry D Lloyd Elementary School,ES,88,69,03A,2103 N LAMON AVE,Chicago,Illinois,60639
26,610044,24251,LOWELL,James Russell Lowell Elementary School,ES,66,30,05A,3320 W HIRSCH ST,Chicago,Illinois,60651
26,610076,24551,MOOS,Bernhard Moos Elementary School,ES,63,46,05A,1711 N CALIFORNIA AVE,Chicago,Illinois,60647
26,610192,25521,STOWE,Harriet Beecher Stowe Elementary School,ES,74,56,05A,3444 W WABANSIA AVE,Chicago,Illinois,60647
26,610234,25911,YATES,Richard Yates Elementary School,ES,70,46,05A,1839 N RICHMOND ST,Chicago,Illinois,60647
26,609780,41111,MARINE LEADERSHIP AT AMES HS,Marine Leadership Academy at Ames,HS,91,61,04A,1920 N HAMLIN AVE,Chicago,Illinois,60647
26,609691,46431,NORTH-GRAND HS,North-Grand High School,HS,129,91,015,4338 W WABANSIA AVE,Chicago,Illinois,60639
26,400022,63051,CHIARTS HS,Chicago High School for the Arts (ChiArts),HS,6,38,CTUA2,2714 W AUGUSTA BLVD,Chicago,Illinois,60622
26,400126,66109,YCCS - ASSOCIATION HOUSE,YCCS-Association House HS,HS,0,0,,"1116 N KEDZIE, 4TH FLOOR AVE",Chicago,Illinois,60651
26,400054,66142,NOBLE - PRITZKER HS,Noble - Pritzker College Prep,HS,0,0,,4131 W CORTLAND ST,Chicago,Illinois,60639
26,400039,66331,ERIE,Erie Elementary Charter School,ES,2,0,,1405 N WASHTENAW AVE,Chicago,Illinois,60622
26,400131,66615,YCCS - CAMPOS,YCCS-Dr. Pedro Albizu Campos Puerto Rican HS,HS,0,0,,2739 W DIVISION ST,Chicago,Illinois,60622
26,610594,69618,PATHWAYS - HUMBOLDT PARK HS,Pathways in Education - Humboldt Park HS,HS,0,0,,2421 W DIVISION,Chicago,IL,60622
