Ward,SchoolID,DeptID,SchoolShortName,SchoolLongName,GradeCat,CPSPositions,CTUMembers,CTUNetwork,Address,City,State,Zip
5,610090,29221,MURRAY,Phillip Murray Elementary Language Academy,ES,47,32,09B,5335 S KENWOOD AVE,Chicago,Illinois,60615
5,610030,31151,KOZMINSKI,Charles Kozminski Elementary Community Academy,ES,38,22,09B,936 E 54TH ST,Chicago,Illinois,60615
5,610116,31201,PARKSIDE,Parkside Elementary Community Academy,ES,38,23,12A,6938 S EAST END AVE,Chicago,Illinois,60649
5,609713,46171,HYDE PARK HS,Hyde Park Academy High School,HS,91,61,017,6220 S STONY ISLAND AVE,Chicago,Illinois,60637
5,609746,46361,KENWOOD HS,Kenwood Academy High School,HS,178,137,017,5015 S BLACKSTONE AVE,Chicago,Illinois,60615
5,400052,66146,NOBLE - COMER,Noble - Gary Comer College Prep,HS,0,0,,7131 S SOUTH CHICAGO AVE,Chicago,Illinois,60619
6,609813,22361,BROWNELL,Charles S Brownell Elementary School,ES,27,15,12A,6741 S MICHIGAN AVE,Chicago,Illinois,60637
6,609883,22931,DENEEN,Charles S Deneen Elementary School,ES,64,38,AUSL-S,7240 S WABASH AVE,Chicago,Illinois,60619
6,609887,22971,DIXON,Arthur Dixon Elementary School,ES,46,33,12A,8306 S SAINT LAWRENCE AVE,Chicago,Illinois,60619
6,609939,23321,GILLESPIE,Frank L Gillespie Elementary School,ES,58,30,12B,9301 S STATE ST,Chicago,Illinois,60619
6,609971,23581,HARVARD,John Harvard Elementary School of Excellence,ES,70,32,AUSL-S,7525 S HARVARD,Chicago,Illinois,60620
6,610093,24651,NEIL,Jane A Neil Elementary School,ES,86,30,12B,8555 S MICHIGAN AVE,Chicago,Illinois,60619
6,610115,24841,PARK MANOR,Park Manor Elementary School,ES,39,23,12A,7037 S RHODES AVE,Chicago,Illinois,60637
6,610130,24971,PIRIE,John T Pirie Fine Arts & Academic Center ES,ES,34,22,12B,650 E 85TH ST,Chicago,Illinois,60619
6,610152,25181,RUGGLES,Martha Ruggles Elementary School,ES,49,30,12B,7831 S PRAIRIE AVE,Chicago,Illinois,60619
6,610279,26281,TANNER,Henry O Tanner Elementary School,ES,50,25,12A,7350 S EVANS AVE,Chicago,Illinois,60619
6,610290,26321,MAYS,Benjamin E Mays Elementary Academy,ES,44,25,11A,6656 S NORMAL BLVD,Chicago,Illinois,60621
6,610299,26371,KING ES,Dr. Martin L. King Jr Academy of Social Justice,ES,41,28,11B,644 W 71ST ST,Chicago,Illinois,60621
6,610300,26381,WESTCOTT,Oliver S Westcott Elementary School,ES,54,33,11B,409 W 80TH ST,Chicago,Illinois,60620
6,610066,29181,MCDADE,James E McDade Elementary Classical School,ES,24,15,12B,8801 S INDIANA AVE,Chicago,Illinois,60619
6,610298,29361,LENART,Lenart Elementary Regional Gifted Center,ES,27,20,11B,8101 S LASALLE ST,Chicago,Illinois,60620
6,610112,31181,PARKER,Francis W Parker Elementary Community Academy,ES,64,37,11A,6800 S STEWART AVE,Chicago,Illinois,60621
6,610592,46691,ENGLEWOOD STEM HS,Englewood STEM High School,HS,122,70,016,6835 S NORMAL,Chicago,Illinois,60621
6,609692,53061,SIMEON HS,Neal F Simeon Career Academy High School,HS,144,104,017,8147 S VINCENNES AVE,Chicago,Illinois,60620
7,609806,22291,BRADWELL,Myra Bradwell Communications Arts & Sciences ES,ES,56,34,AUSL-S,7736 S BURNHAM AVE,Chicago,Illinois,60649
7,609815,22371,BOUCHET,Edward A Bouchet Math & Science Academy ES,ES,80,53,12A,7355 S JEFFERY BLVD,Chicago,Illinois,60649
7,609821,22431,BURNHAM,Burnham Elementary Inclusive Academy,ES,62,39,13B,9928 S CRANDON AVE,Chicago,Illinois,60617
7,609862,22771,COLES,Edward Coles Elementary Language Academy,ES,46,29,12A,8441 S YATES BLVD,Chicago,Illinois,60617
7,610002,23871,HOYNE,Thomas Hoyne Elementary School,ES,27,18,12B,8905 S CRANDON AVE,Chicago,Illinois,60617
7,610218,25761,WARREN,Joseph Warren Elementary School,ES,33,20,12B,9239 S JEFFERY AVE,Chicago,Illinois,60617
7,610281,26291,POWELL,Adam Clayton Powell Paideia Community Academy ES,ES,63,41,12A,7511 S SOUTH SHORE DR,Chicago,Illinois,60649
7,609961,31101,NINOS HEROES,Ninos Heroes Elementary Academic Center,ES,48,24,12A,8344 S COMMERCIAL AVE,Chicago,Illinois,60617
7,610323,46491,BOWEN HS,Bowen High School,HS,53,28,017,2710 E 89TH ST,Chicago,Illinois,60617
7,400094,63081,EPIC HS,EPIC Academy Charter High School,HS,3,45,CTUA2,8255 S HOUSTON AVE,Chicago,Illinois,60617
7,400175,63143,EXCEL SOUTH SHORE HS,Excel Academy of South Shore,HS,1,0,,7530 S SOUTH SHORE DR,Chicago,Illinois,60649
7,610572,66011,SAFE ACHIEVE ES,Safe Achieve Academy Elementary,ES,0,0,,7877 S COLES AVE,Chicago,Illinois,60649
7,610573,66012,SAFE ACHIEVE HS,Safe Achieve Academy HS,HS,0,0,,7877 S COLES AVE,Chicago,Illinois,60649
7,400157,66577,NOBLE - BAKER HS,Noble - Baker College Prep,HS,0,0,,2710 E 89TH ST,Chicago,Illinois,60617
7,400168,66951,GREAT LAKES,Great Lakes Academy Charter School,ES,0,0,,8401 S SAGINAW AVE,Chicago,Illinois,60617
8,609786,22101,AVALON PARK,Avalon Park Elementary School,ES,37,20,12A,8045 S KENWOOD AVE,Chicago,Illinois,60619
8,609833,22511,CALDWELL,Charles P Caldwell Academy of Math & Science ES,ES,36,25,12A,8546 S CREGIER AVE,Chicago,Illinois,60617
8,609978,23641,SMITH,Wendell Smith Elementary School,ES,48,29,13A,744 E 103RD ST,Chicago,Illinois,60628
8,610047,24301,MADISON,James Madison Elementary School,ES,32,17,12A,7433 S DORCHESTER AVE,Chicago,Illinois,60619
8,610052,24331,MANN,Horace Mann Elementary School,ES,36,24,12B,8050 S CHAPPEL AVE,Chicago,Illinois,60617
8,610124,24921,WASHINGTON H ES,Harold Washington Elementary School,ES,39,26,12B,9130 S UNIVERSITY AVE,Chicago,Illinois,60619
8,610178,25391,SCHMID,Theophilus Schmid Elementary School,ES,37,21,12B,9755 S GREENWOOD AVE,Chicago,Illinois,60628
8,610268,26191,ASHE,Arthur R Ashe Elementary School,ES,46,30,12B,8505 S INGLESIDE AVE,Chicago,Illinois,60619
